"Comune";"Vino";"Atto";"Gazzetta Ufficiale";"Latitudine";"Longitudine";
"Godega Sant'Urbano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9307962";"12.3992222";
"Gorgo al Monticano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7885424";"12.5523691";
"Mareno di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8408790";"12.3507100";
"Maserada sul Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7499120";"12.3200280";
"Monastier di Treviso";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6508720";"12.4354010";
"Oderzo";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7812715";"12.4936280";
"Ormelle";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7803333";"12.4231481";
"Ponte di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7147450";"12.4645080";
"Ponzano Veneto";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7157010";"12.2026929";
"Portobuffolè";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8562355";"12.5377327";
"Povegliano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7610940";"12.2037683";
"Roncade";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6280609";"12.3747990";
"Salgareda";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7044850";"12.4921750";
"San Biagio di Callalta";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6854522";"12.3772170";
"San Fior";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9209530";"12.3574120";
"San Polo di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7925185";"12.3943888";
"Santa Lucia di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8450590";"12.2808070";
"Spresiano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7794590";"12.2561040";
"Vazzola";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8427961";"12.3843074";
"Zenson di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6782360";"12.4895490";
"Carbonera";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6845370";"12.2854814";
"Casier";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6438800";"12.2957627";
"Gaiarine";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8795370";"12.4809629";
"Mansuè";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8232096";"12.5354700";
"Mogliano Veneto";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.5613413";"12.2363309";
"Orsago";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9306720";"12.4235730";
"Preganziol";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6022462";"12.2351883";
"Silea";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6546710";"12.2968410";
"Villorba";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7136680";"12.2600845";
"Colle Umberto";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9399657";"12.3399807";
"Conegliano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8881481";"12.3050185";
"Cordignano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9528333";"12.4148703";
"Giavera del Montello";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7948518";"12.1695370";
"Montebelluna";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7775470";"12.0464467";
"Motta di Livenza";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7775000";"12.6087592";
"Nervesa della Battaglia";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8231296";"12.2059444";
"Paese";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6776252";"12.1563908";
"San Vendemiano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8867406";"12.3516602";
"Susegana";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8519560";"12.2507649";
"Trevignano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7433793";"12.0927416";
"Vittorio Veneto";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9798115";"12.3033131";
"Volpago del Montello";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7782962";"12.1154814";
"Fossalta di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6439680";"12.5118480";
"Marcon";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.5615912";"12.2981034";
"Meolo";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6201970";"12.4525790";
"Noventa di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6607962";"12.5347037";
"Quarto d'Altino";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.5787777";"12.3728333";
"San Donà di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6319754";"12.5662747";
"Musile di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6178148";"12.5650000";
"Torre di Mosto";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6861111";"12.7039074";
"Agordo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"462823170";"12.0344100";
"Alano di Piave";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.9078316";"11.9095441";
"Alleghe";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464073470";"12.0253208";
"Arsiè";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.9839074";"11.7593888";
"Auronzo di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"465512013";"12.4432048";
"Belluno";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461399645";"12.2175906";
"Borca di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464373518";"12.2206296";
"Calalzo di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464472250";"12.3836180";
"Canale d'Agordo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463570555";"11.9145555";
"Castellavazzo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"462859629";"12.3081481";
"Cencenighe Agordino";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463440740";"11.9745555";
"Cesiomaggiore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"460890740";"11.9876666";
"Chies d'Alpago";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461745646";"12.3865382";
"Cibiana di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463887592";"12.2865740";
"Colle Santa Lucia";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464495555";"12.0150000";
"Comelico Superiore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"465906481";"12.5154814";
"Cortina d'Ampezzo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"465373829";"12.1389217";
"Danta di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"465670590";"12.5207966";
"Domegge di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464603333";"12.4148518";
"Falcade";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463539800";"11.8642173";
"Farra d'Alpago";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461210362";"12.3586702";
"Feltre";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"460165245";"11.9057269";
"Fonzaso";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"460181296";"11.8009629";
"Forno di Zoldo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463487592";"12.1831481";
"Gosaldo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"462221638";"11.9550301";
"La Valle Agordina";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"462814259";"12.0661111";
"Lamon";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"460475830";"11.7490760";
"Lentiai";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"460450000";"12.0204814";
"Limana";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461037592";"12.1873518";
"Livinallongo del Col di Lana";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464816025";"11.9553602";
"Longarone";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"462665915";"12.2999618";
"Lorenzago di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464806481";"12.4604814";
"Lozzo di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464859656";"12.4446220";
"Mel";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"460645417";"12.0881012";
"Ospitale di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463283109";"12.3232381";
"Pedavena";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"460396140";"11.8803790";
"Perarolo di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463970697";"12.3554640";
"Pieve d'Alpago";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461677522";"12.3531863";
"Pieve di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464285225";"12.3740656";
"Ponte nelle Alpi";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461831481";"12.2792407";
"Puos d'Alpago";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461359629";"12.3484629";
"Quero";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.9219760";"11.9317230";
"Rivamonte Agordino";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"462539074";"12.0239074";
"Rocca Pietore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464348518";"11.9778148";
"San Gregorio nelle Alpi";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461048507";"12.0293580";
"San Nicolò di Comelico";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"465818801";"12.5286103";
"San Pietro di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"465769213";"12.5926473";
"San Tomaso Agordino";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463817407";"11.9754814";
"San Vito di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464612777";"12.2082962";
"Santa Giustina";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"460835526";"12.0428910";
"Santo Stefano di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"465584629";"12.5520555";
"Sappada";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"465675000";"12.6853333";
"Sedico";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461112624";"12.0969587";
"Selva di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464510084";"12.0386119";
"Seren del Grappa";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.9887843";"11.8427247";
"Sospirolo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461417407";"12.0720370";
"Soverzene";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"462045370";"12.3042407";
"Sovramonte";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"460595370";"11.7876666";
"Taibon Agordino";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463020370";"12.0107962";
"Tambre";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"461273703";"12.4204814";
"Trichiana";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"460741224";"12.1331794";
"Vallada Agordina";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463632397";"11.9346750";
"Valle di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464189259";"12.3356296";
"Vas";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.9392005";"11.9357197";
"Vigo di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464998468";"12.4720762";
"Vodo Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"464184856";"12.2477962";
"Voltago Agordino";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"462729814";"12.0062592";
"Zoldo Alto";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463757410";"12.1257560";
"Zoppè di Cadore";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"463880131";"12.1718612";
"Abano Terme";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3605420";"11.7893806";
"Agna";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1697474";"11.9604008";
"Albignasego";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3484444";"11.8682962";
"Anguillara Veneta";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1393886";"11.8890378";
"Arquà Petrarca";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2700515";"11.7167922";
"Arre";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2190740";"11.9253333";
"Arzergrande";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2737592";"12.0528333";
"Bagnoli di Sopra";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1886111";"11.8859444";
"Baone";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2445370";"11.6892407";
"Barbona";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1033706";"11.7030524";
"Battaglia Terme";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2881296";"11.7931296";
"Boara Pisani";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1067229";"11.7838530";
"Borgoricco";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5362777";"11.9422037";
"Bovolenta";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2720443";"11.9370378";
"Brugine";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2975000";"11.9962777";
"Cadoneghe";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.4481543";"11.9092375";
"Campo San Martino";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5455848";"11.8116286";
"Campodarsego";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5026886";"11.9075902";
"Campodoro";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.4912592";"11.7531481";
"Camposampiero";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5693888";"11.9364074";
"Candiana";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2220370";"11.9901666";
"Carceri";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1970370";"11.6203148";
"Carmignano di Brenta";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.6302260";"11.7069720";
"Cartura";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2693888";"11.8578148";
"Casale di Scodosia";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1870555";"11.4693888";
"Casalserugo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3170494";"11.9132984";
"Castelbaldo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1233865";"11.4592174";
"Cervarese Santa Croce";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.4244800";"11.6868240";
"Cinto Euganeo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2757962";"11.6628148";
"Cittadella";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.6488343";"11.7836356";
"Codevigo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2676666";"12.0997037";
"Conselve";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2318888";"11.8748518";
"Correzzola";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2362777";"12.0687592";
"Curtarolo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5228330";"11.8323990";
"Due Carrare";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2935978";"11.8191407";
"Este";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2276375";"11.6565594";
"Fontaniva";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.6350185";"11.7497037";
"Galliera Veneta";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.6640020";"11.8304710";
"Galzignano Terme";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3074851";"11.7314141";
"Gazzo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5815740";"11.7053333";
"Grantorto";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.6018888";"11.7326666";
"Granze";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1575185";"11.7157962";
"Legnaro";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3423299";"11.9661760";
"Limena";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.4732962";"11.8448703";
"Loreggia";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5950000";"11.9462777";
"Lozzo Atestino";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2870260";"11.6277160";
"Maserà di Padova";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3202280";"11.8641901";
"Masi";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1098518";"11.4903333";
"Massanzago";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5573703";"12.0084629";
"Megliadino San Fidenzio";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2184629";"11.5170370";
"Megliadino San Vitale";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1975185";"11.5270370";
"Merlara";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1673518";"11.4423518";
"Mestrino";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.4418888";"11.7615740";
"Monselice";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2395286";"11.7503996";
"Montagnana";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2336096";"11.4672416";
"Montegrotto Terme";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3318641";"11.7837949";
"Noventa Padovana";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.4153333";"11.9520370";
"Ospedaletto Euganeo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2231880";"11.6111460";
"Padova";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.4095683";"11.8765886";
"Pernumia";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2584268";"11.7889653";
"Piacenza d'Adige";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1296696";"11.5503639";
"Piazzola sul Brenta";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5419832";"11.7863350";
"Piombino Dese";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.6067222";"11.9979814";
"Piove di Sacco";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2961677";"12.0348270";
"Polverara";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3103148";"11.9570370";
"Ponso";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1926194";"11.5870697";
"Ponte San Nicolò";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3639863";"11.9363944";
"Pontelongo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2481481";"12.0257962";
"Pozzonovo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1973703";"11.7928333";
"Rovolon";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3653936";"11.6623252";
"Rubano";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.4218888";"11.8082962";
"Saccolongo";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.4038150";"11.7471400";
"Saletto";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2260280";"11.5327730";
"San Giorgio delle Pertiche";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5409390";"11.9094370";
"San Giorgio in Bosco";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5906300";"11.8066210";
"San Martino di Lupari";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.6507462";"11.8537002";
"San Pietro in Gu";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.6116260";"11.6725660";
"San Pietro Viminario";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2443888";"11.8173518";
"Santa Giustina in Colle";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.5632826";"11.9066793";
"Santa Margherita d'Adige";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.2134060";"11.5553586";
"Sant'Angelo di Piove di Sacco";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.3475010";"12.0021860";
"Sant'Elena";"Prosecco";"D. M. 15/10/2010";"n. 263 del 10/11/2010";"45.1872037";"11.7128148";
