Comune;Vino;Atto;Gazzetta Ufficiale;Latitudine;Longitudine
Abano Terme;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.360542;11.7893806
Affi;Bardolino, Bardolino Superiore, Bardolino Superiore Classico;D. M. 08/11/2011;n. 274 del 24/11/2011;45.5529314;10.7787311
Agna;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.1697474;11.9604008
Agordo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.282317;12.03441
Agugliaro;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.3264259;11.5853333
Alano di Piave;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9078316;11.9095441
Albaredo d Adige;Arcole;D. M. 02/11/2006;n. 267 del 16/11/2006;45.317903;11.2753029
Albettone;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.3578148;11.5828148
Albignasego;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.3484444;11.8682962
Alleghe;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.407347;12.0253208
Alonte;Arcole, Colli Berici, Prosecco, Vicenza;D. M. 02/11/2006;n. 267 del 16/11/2006;45.3668888;11.4281296
Altavilla Vicentina;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.511935;11.460371
Altissimo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6153968;11.2526787
Altivole;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7547037;11.9573703
Anguillara Veneta;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1393886;11.8890378
Annone Veneto;Lison, Lison Classico, Lison-Pramaggiore, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.794099;12.683527
Arcade;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.784537;12.2228333
Arcole;Arcole;D. M. 02/11/2006;n. 267 del 16/11/2006;45.3578333;11.2856481
Arcugnano;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.4951612;11.5514699
Arqua Petrarca;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.2700515;11.7167922
Arre;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.219074;11.9253333
Arsie;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9839074;11.7593888
Arsiero;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8039259;11.3553333
Arzergrande;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2737592;12.0528333
Arzignano;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.5193876;11.339584
Asiago;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8761111;11.5087777
Asigliano Veneto;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.3056296;11.4475185
Asolo;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.7932962;11.9128333
Auronzo di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.5512013;12.4432048
Azzano Decimo;Lison;D. M. 22/12/2010;n. 4 del 07/01/2011;45.881753;12.714705
Badia Calavena;Monti Lessini;D. M. 08/11/2011;n. 272 del 22/11/2011;45.5673518;11.1537777
Bagnoli di Sopra;Friularo di Bagnoli, Friularo di Bagnoli Classico, Prosecco;D. M. 08/11/2011;n. 276 del 26/11/2011;45.1886111;11.8859444
Baone;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.244537;11.6892407
Barbarano Vicentino;Colli Berici, Prosecco, Vicenza;D. M. 18/09/2000;n. 225 del 26/09/2000;45.4092849;11.542238
Barbona;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1033706;11.7030524
Bardolino;Bardolino, Bardolino Superiore, Bardolino Superiore Classico;D. M. 08/11/2011;n. 274 del 24/11/2011;45.547558;10.7210038
Bassano del Grappa;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.766608;11.7339608
Battaglia Terme;Bagnoli, Colli Euganei, Collie Euganei Fior D Arancio, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.2881296;11.7931296
Belfiore d'Adige;Arcole;D. M. 02/11/2006;n. 267 del 16/11/2006;45.3832962;11.2106481
Belluno;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1399645;12.2175906
Bevilacqua;Merlara;D. M. 21/04/2007;n. 102 del 05/05/2009;45.2328333;11.3936111
Boara Pisani;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1067229;11.783853
Bolzano Vicentino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6027979;11.623102
Borca di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.4373518;12.2206296
Borgoricco;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5362777;11.9422037
Borso del Grappa;Montello Rosso, Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.82077;11.796086
Boschi Sant Anna;Merlara;D. M. 21/04/2007;n. 102 del 05/05/2009;45.2187777;11.3573703
Bovolenta;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.2720443;11.9370378
Breda di Piave;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.7248518;12.3337777
Breganze;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.7080607;11.5647946
Brendola;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.4724113;11.4461293
Brentino Belluno;Terradeiforti, Valdadige;D. M. 24/05/2010;n. 141 del 19*06/2010;45.6583447;10.8942082
Bressanvido;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6442671;11.6314917
Brogliano;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.5890414;11.367053
Brugine;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2975;11.9962777
Bussolengo;Bardolino, Bardolino Superiore, Bianco di Custoza;D. M. 08/11/2011;n. 274 del 24/11/2011;45.4745577;10.8464106
Cadoneghe;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4481543;11.9092375
Caerano di San Marco;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.7862777;12.0039259
Calalzo di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.447225;12.383618
Caldiero;Arcole, Recioto Soave, Soave, Soave Superiore;D. M. 02/11/2006;n. 267 del 16/11/2006;45.4153148;11.1784444
Caldogno;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6087592;11.5039259
Caltrano;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7743815;11.4530195
Calvene;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7686559;11.5147115
Camisano Vicentino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.518037;11.708508
Campagna Lupia;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.355824;12.096281
Campiglia dei Berici;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.3357962;11.5434444
Campo San Martino;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5455848;11.8116286
Campodarsego;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5026886;11.9075902
Campodoro;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4912592;11.7531481
Campolongo Maggiore;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.322842;12.0450839
Campolongo sul Brenta;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8281481;11.7018888
Camponogara;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.383409;12.072398
Camposampiero;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5693888;11.9364074
Canale d Agordo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.3570555;11.9145555
Candiana;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.222037;11.9901666
Caorle;Lison, Lison-Pramaggiore, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.5948518;12.8707962
Cappella Maggiore;Colli di Conegliano, Colli di Conegliano Torchiato di Fregona, Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9781296;12.3423518
Caprino Veronese;Bardolino, Bardolino Superiore;D. M. 08/11/2011;n. 274 del 24/11/2011;45.6059629;10.7962592
Carbonera;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.684537;12.2854814
Carceri;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.197037;11.6203148
Carmignano di Brenta;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.630226;11.706972
Carre;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7498703;11.4589259
Cartigliano;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7139074;11.6967407
Cartura;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.2693888;11.8578148
Casale di Scodosia;Merlara, Prosecco;D. M. 21/04/2007;n. 102 del 05/05/2009;45.1870555;11.4693888
Casale sul Sile;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.5989259;12.3243888
Casalserugo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.3170494;11.9132984
Casier;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.64388;12.2957627
Cassola;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.732665;11.796291
Castegnero;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4376803;11.6011179
Castelbaldo;Merlara, Prosecco;D. M. 21/04/2007;n. 102 del 05/05/2009;45.1233865;11.4592174
Castelcucco;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.8317407;11.8853333
Castelfranco Veneto;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6713166;11.9262274
Castelgnero;Colli Berici;D. M. 08/10/2009;n. 246 del 22/10/2009;45.4376803;11.6011179
Castelgomberto;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.5859629;11.3967222
Castellavazzo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.2859629;12.3081481
Castello di Godego;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6943888;11.8779814
Castelnuovo del Garda;Bardolino, Bardolino Superiore, Bianco di Custoza;D. M. 08/11/2011;n. 274 del 24/11/2011;45.4396447;10.7640751
Cavaion Veronese;Bardolino, Bardolino Superiore, Bardolino Superiore Classico;D. M. 08/11/2011;n. 274 del 24/11/2011;45.539874;10.769303
Cavallino-Treporti;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.3136111;12.2012592
Cavarzere;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1345079;12.0808623
Cavaso del Tomba;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.8617407;11.8995555
Cazzano di Tramigna;Amarone Valpolicella, Monti Lessini, Recioto Soave, Recioto Valpolicella, Soave, Soave Superiore, Valpolicella, Valpolicella Ripasso;D. M. 08/11/2011;n. 272 del 22/11/2011;45.473996;11.203152
Ceggia;Piave Malanotte, Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6864259;12.6392407
Cencenighe Agordino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.344074;11.9745555
Cerro Veronese;Amarone Valpolicella, Recioto Valpolicella, Valpolicella, Valpolicella Ripasso;D. M. 24/03/2010;n 85 del 13/04/2010;45.5754489;11.0426787
Cervarese Santa Croce;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.42448;11.686824
Cesiomaggiore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.089074;11.9876666
Cessalto;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.714074;12.6154814
Chiampo;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.5468888;11.2806296
Chiarano;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.73;12.5837592
Chies d'Alpago;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1745646;12.3865382
Chioggia;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2170993;12.2788154
Chions;Lison;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8453333;12.7132962
Chiuppano;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7648703;11.4628333
Cibiana di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.3887592;12.286574
Cimadolmo;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.7845626;12.3640065
Cinto Caomaggiore;Lison, Lison Classico, Lison-Pramaggiore, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8300185;12.7836111
Cinto Euganeo;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.2757962;11.6628148
Cismon del Grappa;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9204549;11.729454
Cison di Valmarino;Colli di Conegliano, Conegliano Valdobbiadene Prosecco, Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9673703;12.1442407
Cittadella;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6488343;11.7836356
Codevigo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2676666;12.0997037
Codogne;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8702109;12.4308257
Cogollo del Cengio;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7837957;11.4272728
Colle Santa Lucia;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.4495555;12.015
Colle Umberto;Colli di Conegliano, Conegliano Valdobbiadene Prosecco, Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.9399657;12.3399807
Cologna Veneta;Arcole;D. M. 02/11/2006;n. 267 del 16/11/2006;45.3112592;11.3854814
Colognola ai Colli;Amarone Valpolicella, Arcole, Recioto Soave, Recioto Valpolicella, Soave, Soave Superiore, Valpolicella, Valpolicella Ripasso;D. M. 02/11/2006;n. 267 del 16/11/2006;45.4347037;11.1853148
Comelico Superiore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.5906481;12.5154814
Cona;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1858744;12.0194535
Conco;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8009444;11.6081296
Concordia Sagittaria;Lison, Lison-Pramaggiore, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.756918;12.844317
Conegliano;Colli di Conegliano, Conegliano Valdobbiadene Prosecco, Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8881481;12.3050185
Conselve;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.2318888;11.8748518
Cordignano;Colli di Conegliano, Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.9528333;12.4148703
Cordovado;Lison;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8432962;12.8834444
Cornedo Vicentino;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.614074;11.3417407
Cornuda;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.8317846;12.0080604
Correzzola;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2362777;12.0687592
Cortina d Ampezzo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.5373829;12.1389217
Costabissara;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.584537;11.4882962
Costermano;Bardolino, Bardolino Superiore, Bardolino Superiore Classico;D. M. 08/01/2011;n. 275 del 25/11/2011;45.5870638;10.7393507
Creazzo;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.531491;11.4814139
Crespadoro;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.621823;11.2262338
Crespano del Grappa;Montello Rosso, Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8264259;11.8348703
Crocetta del Montello;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.825576;12.035615
Curtarolo;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.522833;11.832399
Danta di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.567059;12.5207966
Dolce;Amarone Valpolicella, Recioto Valpolicella, Terradeiforti, Valdadige, Valpolicella, Valpolicella Ripasso;D. M. 24/03/2010;n. 85 del 13/04/2010;45.6017407;10.8536111
Dolo;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4261815;12.0744548
Domegge di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.4603333;12.4148518
Due Carrare;Bagnoli, Colli Euganei, Colli Euganei Fior D Arancio, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.2935978;11.8191407
Dueville;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6364827;11.5493575
Enego;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9425;11.706574
Eraclea;Piave Malanotte, Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5785804;12.6781041
Este;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.2276375;11.6565594
Falcade;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.35398;11.8642173
Fara Vicentino;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.7403354;11.5476577
Farra d'Alpago;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1210362;12.3586702
Farra di Soligo;Colli di Conegliano, Conegliano Valdobbiadene Prosecco, Prosecco, Venezia;D. M. 14/09/2011;n. 231 del 04/10/2011;45.896331;12.094193
Feltre;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.0165245;11.9057269
Fiesso d Artico;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4175;12.0347037
Follina;Colli di Conegliano, Conegliano Valdobbiadene Prosecco, Prosecco, Venezia;D. M. 14/09/2011;n. 231 del 04/10/2011;45.9525;12.1206296
Fontanelle;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8370555;12.4653333
Fontaniva;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6350185;11.7497037
Fonte;Montello - Colli Asolani, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.784921;11.872449
Fonte;Colli Asolani Prosecco, Montello Rosso;D. M. 04/02/2010;n. 39 del 17/02/2010;45.784921;11.872449
Fonzaso;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.0181296;11.8009629
